full_address,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
1640 BEEKMAN PLACE NW,1640 BEEKMAN PLACE NW,396658.97,138981.82,38.91869997,-77.03852614,Ward 1,3800,20009,226045,,100,DC Address,
1642 BEEKMAN PLACE NW,1642 BEEKMAN PLACE NW,396647.95,138979.38,38.91867795,-77.0386532,Ward 1,3800,20009,226047,,100,DC Address,
1644 BEEKMAN PLACE NW,1644 BEEKMAN PLACE NW,396637.04,138976.49,38.91865188,-77.03877899,Ward 1,3800,20009,226052,,100,DC Address,
1646 BEEKMAN PLACE NW,1646 BEEKMAN PLACE NW,396624.5,139000.98,38.91887244,-77.03892371,Ward 1,3800,20009,226054,,100,DC Address,
1648 BEEKMAN PLACE NW,1648 BEEKMAN PLACE NW,396621.86,139012.09,38.91897252,-77.03895421,Ward 1,3800,20009,226056,,100,DC Address,
1650 BEEKMAN PLACE NW,1650 BEEKMAN PLACE NW,396616.24,139021.66,38.9190587,-77.03901906,Ward 1,3800,20009,226322,,100,DC Address,
1652 BEEKMAN PLACE NW,1652 BEEKMAN PLACE NW,396612.41,139036.11,38.91918886,-77.0390633,Ward 1,3800,20009,226250,,100,DC Address,
1654 BEEKMAN PLACE NW,1654 BEEKMAN PLACE NW,396606.94,139045.5,38.91927343,-77.03912642,Ward 1,3800,20009,226251,,100,DC Address,
3125 MOUNT PLEASANT STREET NW,3125 MOUNT PLEASANT STREET NW,396766.15,140169.91,38.92940307,-77.03729582,Ward 1,2702,20010,236407,,100,DC Address,
2001 COLUMBIA ROAD NW,2001 COLUMBIA ROAD NW,396025.08,138885.5,38.91782965,-77.0458351,Ward 1,4001,20009,226076,,100,DC Address,
2015 COLUMBIA ROAD NW,2015 COLUMBIA ROAD NW,395996.1,138836.75,38.91739037,-77.04616899,Ward 1,4001,20009,243047,,100,DC Address,
2011 COLUMBIA ROAD NW,2011 COLUMBIA ROAD NW,396000.97,138846.79,38.91748083,-77.04611289,Ward 1,4001,20009,226648,,100,DC Address,
2009 COLUMBIA ROAD NW,2009 COLUMBIA ROAD NW,396007.29,138853.95,38.91754536,-77.04604006,Ward 1,4001,20009,235125,,100,DC Address,
2010 KALORAMA ROAD NW,2010 KALORAMA ROAD NW,395953.94,138987.24,38.91874584,-77.04665602,Ward 1,4001,20009,235128,,100,DC Address,
1636 ARGONNE PLACE NW,1636 ARGONNE PLACE NW,396678.73,139823.59,38.92628298,-77.03830235,Ward 1,3900,20009,236275,,100,DC Address,
1636 IRVING STREET NW,1636 IRVING STREET NW,396712.84,140075.07,38.92854852,-77.03791019,Ward 1,2702,20010,236302,,100,DC Address,
2418 19TH STREET NW,2418 19TH STREET NW,396005.06,139281.08,38.92139308,-77.04606826,Ward 1,4001,20009,238048,,100,DC Address,
