full_address,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
1601 CORCORAN STREET NW,1601 CORCORAN STREET NW,396769.76,138238.65,38.91200567,-77.0372451,Ward 2,5301,20009,226116,,100,DC Address,
1603 CORCORAN STREET NW,1603 CORCORAN STREET NW,396764.99,138239.07,38.91200943,-77.0373001,Ward 2,5301,20009,226153,,100,DC Address,
1605 CORCORAN STREET NW,1605 CORCORAN STREET NW,396759.4,138239.34,38.91201184,-77.03736455,Ward 2,5301,20009,226168,,100,DC Address,
1607 CORCORAN STREET NW,1607 CORCORAN STREET NW,396755.31,138239.34,38.91201183,-77.03741171,Ward 2,5301,20009,226160,,100,DC Address,
1609 CORCORAN STREET NW,1609 CORCORAN STREET NW,396749.59,138239.23,38.91201082,-77.03747766,Ward 2,5301,20009,226159,,100,DC Address,
1611 CORCORAN STREET NW,1611 CORCORAN STREET NW,396745.42,138239.4,38.91201233,-77.03752575,Ward 2,5301,20009,226141,,100,DC Address,
1613 CORCORAN STREET NW,1613 CORCORAN STREET NW,396739.46,138239.41,38.9120124,-77.03759447,Ward 2,5301,20009,226145,,100,DC Address,
1615 CORCORAN STREET NW,1615 CORCORAN STREET NW,396735.89,138239.15,38.91201005,-77.03763563,Ward 2,5301,20009,226147,,100,DC Address,
1617 CORCORAN STREET NW,1617 CORCORAN STREET NW,396730.16,138239.28,38.9120112,-77.0377017,Ward 2,5301,20009,226041,,100,DC Address,
1619 CORCORAN STREET NW,1619 CORCORAN STREET NW,396726.08,138239.37,38.91201199,-77.03774874,Ward 2,5301,20009,226311,,100,DC Address,
1612 16TH STREET NW,1612 16TH STREET NW,396805.32,138193.25,38.91159682,-77.03683488,Ward 2,5301,20009,241987,,100,DC Address,
1306 O STREET NW,1306 O STREET NW,397406.41,137839.96,38.90841624,-77.02990293,Ward 2,5002,20005,279031,,100,DC Address,
2020 15TH STREET NW,2020 15TH STREET NW,396981.05,138866.29,38.91766041,-77.03481166,Ward 1,4300,20009,242044,,100,DC Address,
2012 15TH STREET NW,2012 15TH STREET NW,396981.41,138842.67,38.91744763,-77.0348074,Ward 1,4300,20009,242048,,100,DC Address,
1925 16TH STREET NW,1925 16TH STREET NW,396868.04,138734.67,38.91647434,-77.03611418,Ward 2,4300,20009,226616,,100,DC Address,
1722 U STREET NW,1722 U STREET NW,396574.85,138769.55,38.91678745,-77.03949509,Ward 2,4201,20009,238108,,100,DC Address,
713 BRANDYWINE STREET SE,713 BRANDYWINE STREET SE,400393.65,129119.63,38.8298637,-76.99546638,Ward 8,9802,20032,77125,,100,DC Address,
725 BRANDYWINE STREET SE,725 BRANDYWINE STREET SE,400455.26,129119.7,38.8298643,-76.99475683,Ward 8,9802,20032,77982,,100,DC Address,
750 BARNABY STREET SE,750 BARNABY STREET SE,400483.51,129118.84,38.82985654,-76.99443148,Ward 8,9802,20032,78856,,100,DC Address,
2639 BOWEN ROAD SE,2639 BOWEN ROAD SE,400830.92,132452.74,38.85988953,-76.99042638,Ward 8,7407,20020,145282,,100,DC Address,
2641 BOWEN ROAD SE,2641 BOWEN ROAD SE,400834.98,132456.75,38.85992565,-76.99037959,Ward 8,7407,20020,145267,,100,DC Address,
2643 BOWEN ROAD SE,2643 BOWEN ROAD SE,400839.13,132460.79,38.85996204,-76.99033177,Ward 8,7407,20020,145266,,100,DC Address,
2645 BOWEN ROAD SE,2645 BOWEN ROAD SE,400843.19,132465,38.85999996,-76.99028499,Ward 8,7407,20020,145265,,100,DC Address,
2634 BOWEN ROAD SE,2634 BOWEN ROAD SE,400777.33,132469.66,38.860042,-76.99104381,Ward 8,7407,20020,145444,,100,DC Address,
717 BRANDYWINE STREET SE,717 BRANDYWINE STREET SE,400414.39,129119.67,38.82986405,-76.99522752,Ward 8,9802,20032,77423,,100,DC Address,
721 BRANDYWINE STREET SE,721 BRANDYWINE STREET SE,400434.43,129119.77,38.82986495,-76.99499673,Ward 8,9802,20032,77717,,100,DC Address,
4130 4TH STREET SE,4130 4TH STREET SE,399973.77,129084.09,38.82954363,-77.00030209,Ward 8,9802,20032,26347,,100,DC Address,
100 CHESAPEAKE STREET SE,100 CHESAPEAKE STREET SE,399515.49,129065,38.82937153,-77.00558,Ward 8,9810,20032,145517,,100,DC Address,
2320 CHESTER STREET SE,2320 CHESTER STREET SE,401047.32,132716.03,38.86226113,-76.98793268,Ward 8,7503,20020,48485,,100,DC Address,
1300 TALBERT COURT SE,1300 TALBERT COURT SE,400837.6,132624.22,38.86143429,-76.9903492,Ward 8,7407,20020,306668,,100,DC Address,
1304 TALBERT COURT SE,1304 TALBERT COURT SE,400841.48,132619.33,38.86139023,-76.9903045,Ward 8,7407,20020,306632,,100,DC Address,
1308 TALBERT COURT SE,1308 TALBERT COURT SE,400844.86,132615.28,38.86135375,-76.99026556,Ward 8,7407,20020,306633,,100,DC Address,
1312 TALBERT COURT SE,1312 TALBERT COURT SE,400848.74,132611.06,38.86131573,-76.99022086,Ward 8,7407,20020,306634,,100,DC Address,
1316 TALBERT COURT SE,1316 TALBERT COURT SE,400852.62,132607.35,38.8612823,-76.99017616,Ward 8,7407,20020,306635,,100,DC Address,
1320 TALBERT COURT SE,1320 TALBERT COURT SE,400861.72,132609.26,38.8612995,-76.99007131,Ward 8,7407,20020,306636,,100,DC Address,
1324 TALBERT COURT SE,1324 TALBERT COURT SE,400867.57,132607.29,38.86128175,-76.99000391,Ward 8,7407,20020,306637,,100,DC Address,
1328 TALBERT COURT SE,1328 TALBERT COURT SE,400870.33,132603.19,38.86124481,-76.98997212,Ward 8,7407,20020,306638,,100,DC Address,
1332 TALBERT COURT SE,1332 TALBERT COURT SE,400873.87,132598.97,38.86120679,-76.98993133,Ward 8,7407,20020,306639,,100,DC Address,
1336 TALBERT COURT SE,1336 TALBERT COURT SE,400877.08,132594.07,38.86116265,-76.98989435,Ward 8,7407,20020,306640,,100,DC Address,
1340 TALBERT COURT SE,1340 TALBERT COURT SE,400880.45,132589.85,38.86112463,-76.98985553,Ward 8,7407,20020,306641,,100,DC Address,
1344 TALBERT COURT SE,1344 TALBERT COURT SE,400884.36,132586.67,38.86109598,-76.98981048,Ward 8,7407,20020,306642,,100,DC Address,
1348 TALBERT COURT SE,1348 TALBERT COURT SE,400888.07,132581.95,38.86105345,-76.98976774,Ward 8,7407,20020,306643,,100,DC Address,
1352 TALBERT COURT SE,1352 TALBERT COURT SE,400891.17,132578.34,38.86102093,-76.98973203,Ward 8,7407,20020,306657,,100,DC Address,
1356 TALBERT COURT SE,1356 TALBERT COURT SE,400894.54,132575.13,38.86099201,-76.98969321,Ward 8,7407,20020,306644,,100,DC Address,
1360 TALBERT COURT SE,1360 TALBERT COURT SE,400898.83,132570.41,38.86094948,-76.98964378,Ward 8,7407,20020,306645,,100,DC Address,
1364 TALBERT COURT SE,1364 TALBERT COURT SE,400902.38,132565.85,38.8609084,-76.98960289,Ward 8,7407,20020,306646,,100,DC Address,
1368 TALBERT COURT SE,1368 TALBERT COURT SE,400904.64,132559.7,38.860853,-76.98957686,Ward 8,7407,20020,306658,,100,DC Address,
1372 TALBERT COURT SE,1372 TALBERT COURT SE,400908.36,132555.99,38.86081957,-76.989534,Ward 8,7407,20020,306659,,100,DC Address,
1376 TALBERT COURT SE,1376 TALBERT COURT SE,400911.89,132550.57,38.86077074,-76.98949333,Ward 8,7407,20020,306660,,100,DC Address,
1380 TALBERT COURT SE,1380 TALBERT COURT SE,400915.14,132546.3,38.86073227,-76.98945589,Ward 8,7407,20020,306665,,100,DC Address,
1384 TALBERT COURT SE,1384 TALBERT COURT SE,400918.9,132540.3,38.86067822,-76.98941258,Ward 8,7407,20020,306666,,100,DC Address,
1392 TALBERT COURT SE,1392 TALBERT COURT SE,400918.94,132532.93,38.86061183,-76.98941213,Ward 8,7407,20020,309638,,100,DC Address,
1262 TALBERT STREET SE,1262 TALBERT STREET SE,400831.91,132666,38.86181033,-76.99041471,Ward 8,7407,20020,285996,,100,DC Address,
1444 CHURCH STREET NW,1444 CHURCH STREET NW,397100.94,138042.14,38.91023659,-77.03342572,Ward 2,5201,20005,285662,,100,DC Address,
2232 13TH STREET NW,2232 13TH STREET NW,397398.6,139127.39,38.92001382,-77.02999786,Ward 1,4400,20009,301449,,100,DC Address,
1312 FLORIDA AVENUE NW,1312 FLORIDA AVENUE NW,397375.03,139146.42,38.92018518,-77.03026973,Ward 1,4400,20009,240287,,100,DC Address,
3201 8TH STREET SE,3201 8TH STREET SE,400393.69,130569.57,38.84292542,-76.99546509,Ward 8,9804,20032,38842,,100,DC Address,
3211 8TH STREET SE,3211 8TH STREET SE,400397.91,130548.8,38.84273832,-76.9954165,Ward 8,9804,20032,38490,,100,DC Address,
3221 8TH STREET SE,3221 8TH STREET SE,400400.57,130527.14,38.84254319,-76.99538587,Ward 8,9804,20032,38182,,100,DC Address,
1111 11TH STREET NW,1111 11TH STREET NW,397679.89,137458.84,38.90498374,-77.02674854,Ward 2,4902,20001,297574,,100,DC Address,
910 M STREET NW,910 M STREET NW,397869.03,137503.24,38.90538419,-77.02456809,Ward 2,4902,20001,300398,,100,DC Address,
1010 MASSACHUSETTS AVENUE NW,1010 MASSACHUSETTS AVENUE NW,397686.82,137290.54,38.90346766,-77.02666808,Ward 2,10100,20001,239363,,100,DC Address,
1300 N STREET NW,1300 N STREET NW,397405.45,137689.91,38.90706454,-77.02991344,Ward 2,5002,20005,242843,,100,DC Address,
915 E STREET NW,915 E STREET NW,397825.67,136501.42,38.89635933,-77.02506482,Ward 2,5800,20004,239822,,100,DC Address,
616 E STREET NW,616 E STREET NW,398155.28,136455.83,38.8959494,-77.02126508,Ward 2,5800,20004,297643,,100,DC Address,
1150 K STREET NW,1150 K STREET NW,397585.6,137149.94,38.90220081,-77.02783453,Ward 2,10100,20005,297576,,100,DC Address,
919 R STREET NW,919 R STREET NW,397848.91,138326.8,38.91280306,-77.02480263,Ward 6,4901,20001,239623,,100,DC Address,
1415 10TH STREET NW,1415 10TH STREET NW,397770.53,137925.87,38.90919115,-77.02570507,Ward 2,4901,20001,225494,,100,DC Address,
1410 9TH STREET NW,1410 9TH STREET NW,397902.2,137907.64,38.90902725,-77.0241869,Ward 2,4901,20001,225478,,100,DC Address,
1336 9TH STREET NW,1336 9TH STREET NW,397901.48,137840.92,38.90842621,-77.024195,Ward 2,4902,20001,239721,,100,DC Address,
1302 9TH STREET NW,1302 9TH STREET NW,397903.73,137729.14,38.90741926,-77.02416872,Ward 2,4902,20001,307202,,100,DC Address,
1316 NAYLOR COURT NW,1316 NAYLOR COURT NW,397877.34,137775.93,38.9078407,-77.02447312,Ward 2,4902,20001,307299,,100,DC Address,
907 N STREET NW,907 N STREET NW,397874.04,137726.43,38.90739478,-77.02451102,Ward 2,4902,20001,308561,,100,DC Address,
1133 14TH STREET NW,1133 14TH STREET NW,397252.38,137437.8,38.90479298,-77.03167722,Ward 2,10100,20005,300319,,100,DC Address,
2020 12TH STREET NW,2020 12TH STREET NW,397532.56,138860.44,38.91760943,-77.02845215,Ward 1,4400,20009,295020,,100,DC Address,
1210 V STREET NW,1210 V STREET NW,397511.73,138899.56,38.91796178,-77.02869248,Ward 1,4400,20009,299882,,100,DC Address,
2029 13TH STREET NW,2029 13TH STREET NW,397453.16,138885.57,38.91783558,-77.02936781,Ward 1,4400,20009,240802,,100,DC Address,
2031 13TH STREET NW,2031 13TH STREET NW,397452.83,138890.91,38.91788369,-77.02937163,Ward 1,4400,20009,240803,,100,DC Address,
2035 13TH STREET NW,2035 13TH STREET NW,397455.05,138901.43,38.91797846,-77.02934607,Ward 1,4400,20009,240805,,100,DC Address,
1925 13TH STREET NW,1925 13TH STREET NW,397455.5,138731.39,38.91644669,-77.02934025,Ward 1,4400,20009,226631,,100,DC Address,
1927 13TH STREET NW,1927 13TH STREET NW,397457.58,138736.53,38.916493,-77.02931629,Ward 1,4400,20009,226552,,100,DC Address,
1922 12TH STREET NW,1922 12TH STREET NW,397545.41,138714.99,38.91629921,-77.02830345,Ward 1,4400,20009,298485,,100,DC Address,
1920 12TH STREET NW,1920 12TH STREET NW,397545.41,138708.92,38.91624452,-77.02830343,Ward 1,4400,20009,298484,,100,DC Address,
2001 12TH STREET NW,2001 12TH STREET NW,397588.98,138866.72,38.91766616,-77.02780159,Ward 1,4400,20009,284156,,100,DC Address,
1325 13TH STREET NW,1325 13TH STREET NW,397454.05,137827.64,38.9083054,-77.02935362,Ward 2,5002,20005,226569,,100,DC Address,
1201 N STREET NW,1201 N STREET NW,397546.36,137728.14,38.90740933,-77.02828897,Ward 2,5002,20005,226381,,100,DC Address,
505 O STREET NW,505 O STREET NW,398323,137876.81,38.90875042,-77.01933515,Ward 6,4801,20001,295083,,100,DC Address,
507 O STREET NW,507 O STREET NW,398318.64,137876.97,38.90875186,-77.01938542,Ward 6,4801,20001,298095,,100,DC Address,
1416 5TH STREET NW,1416 5TH STREET NW,398327.68,137919.6,38.9091359,-77.0192813,Ward 6,4801,20001,238845,,100,DC Address,
1412 5TH STREET NW,1412 5TH STREET NW,398332.22,137907.8,38.90902961,-77.01922892,Ward 6,4801,20001,218116,,100,DC Address,
500 M STREET NW,500 M STREET NW,398343.52,137513.05,38.90547359,-77.01909769,Ward 6,4802,20001,238899,,100,DC Address,
1127 6TH STREET NW,1127 6TH STREET NW,398296.45,137472.44,38.90510767,-77.01964026,Ward 6,4802,20001,302480,,100,DC Address,
504 M STREET NW,504 M STREET NW,398331.52,137510.92,38.90545438,-77.01923603,Ward 6,4802,20001,238897,,100,DC Address,
1123 6TH STREET NW,1123 6TH STREET NW,398297.31,137461.57,38.90500975,-77.01963032,Ward 6,4802,20001,307750,,100,DC Address,
1130 5TH STREET NW,1130 5TH STREET NW,398338.09,137486.04,38.90523026,-77.01916022,Ward 6,4802,20001,238901,,100,DC Address,
1132 5TH STREET NW,1132 5TH STREET NW,398337.92,137491.5,38.90527945,-77.0191622,Ward 6,4802,20001,238900,,100,DC Address,
1133 6TH STREET NW,1133 6TH STREET NW,398297.89,137488.41,38.90525153,-77.0196237,Ward 6,4802,20001,238893,,100,DC Address,
1135 6TH STREET NW,1135 6TH STREET NW,398301.34,137493.68,38.90529901,-77.01958393,Ward 6,4802,20001,238913,,100,DC Address,
1106 5TH STREET NW,1106 5TH STREET NW,398339.02,137419.07,38.90462697,-77.01914934,Ward 6,4802,20001,226510,,100,DC Address,
1126 5TH STREET NW,1126 5TH STREET NW,398336.21,137475.03,38.90513108,-77.01918187,Ward 6,4802,20001,238903,,100,DC Address,
1211 13TH STREET NW,1211 13TH STREET NW,397454.35,137610.02,38.906345,-77.02934936,Ward 2,5002,20005,300072,,100,DC Address,
1115 12TH STREET NW,1115 12TH STREET NW,397585.57,137417.74,38.90461325,-77.02783582,Ward 2,5002,20005,226395,,100,DC Address,
601 PENNSYLVANIA AVENUE NW,601 PENNSYLVANIA AVENUE NW,398221.46,136161.65,38.89329945,-77.02050143,Ward 2,5800,20004,226088,,100,DC Address,
555 MASSACHUSETTS AVENUE NW,555 MASSACHUSETTS AVENUE NW,398336.95,137088.46,38.90164872,-77.0191724,Ward 6,4702,20001,298109,,100,DC Address,
1209 13TH STREET NW,1209 13TH STREET NW,397461.11,137588.85,38.90615431,-77.02927134,Ward 2,5002,20005,240910,,100,DC Address,
1245 13TH STREET NW,1245 13TH STREET NW,397454.93,137675.32,38.90693325,-77.02934291,Ward 2,5002,20005,226646,,100,DC Address,
1133 13TH STREET NW,1133 13TH STREET NW,397449.83,137507.76,38.90542379,-77.02940109,Ward 2,5002,20005,226402,,100,DC Address,
2101 11TH STREET NW,2101 11TH STREET NW,397677.31,138942.28,38.91834707,-77.02678331,Ward 1,4400,20001,239915,,100,DC Address,
1013 V STREET NW,1013 V STREET NW,397707.01,138934.92,38.91828084,-77.02644081,Ward 1,4400,20001,239158,,100,DC Address,
2110 10TH STREET NW,2110 10TH STREET NW,397727.89,138973.93,38.91863231,-77.02620017,Ward 1,4400,20001,239142,,100,DC Address,
1907 11TH STREET NW,1907 11TH STREET NW,397680.94,138684.57,38.91602554,-77.02674058,Ward 1,4400,20001,239195,,100,DC Address,
1011 T STREET NW,1011 T STREET NW,397692.65,138653.31,38.91574397,-77.02660545,Ward 1,4400,20001,305158,,100,DC Address,
1013 T STREET NW,1013 T STREET NW,397686.38,138653.21,38.91574305,-77.02667775,Ward 1,4400,20001,305159,,100,DC Address,
1902 VERMONT AVENUE NW,1902 VERMONT AVENUE NW,397712.56,138658.36,38.91578951,-77.02637589,Ward 1,4400,20001,305167,,100,DC Address,
1904 VERMONT AVENUE NW,1904 VERMONT AVENUE NW,397714.68,138664.83,38.9158478,-77.02635146,Ward 1,4400,20001,305168,,100,DC Address,
1906 VERMONT AVENUE NW,1906 VERMONT AVENUE NW,397716.7,138671.4,38.91590699,-77.02632819,Ward 1,4400,20001,305169,,100,DC Address,
1908 VERMONT AVENUE NW,1908 VERMONT AVENUE NW,397717.91,138677.87,38.91596528,-77.02631426,Ward 1,4400,20001,305170,,100,DC Address,
1900 VERMONT AVENUE NW,1900 VERMONT AVENUE NW,397710.84,138651.69,38.91572942,-77.0263957,Ward 1,4400,20001,305166,,100,DC Address,
1001 L STREET NW,1001 L STREET NW,397724.15,137394.41,38.90440345,-77.02623806,Ward 2,4902,20001,297572,,100,DC Address,
1939 17TH STREET NW,1939 17TH STREET NW,396685.77,138772.09,38.91681076,-77.03821609,Ward 2,4201,20009,226564,,100,DC Address,
1931 17TH STREET NW,1931 17TH STREET NW,396698.26,138736.32,38.91648858,-77.0380719,Ward 2,4201,20009,226554,,100,DC Address,
2120 VERMONT AVENUE NW,2120 VERMONT AVENUE NW,397845.29,138978.59,38.91867459,-77.02484642,Ward 1,4400,20001,302641,,100,DC Address,
1224 13TH STREET NW,1224 13TH STREET NW,397397.4,137618.17,38.90641825,-77.03000597,Ward 2,5002,20005,240631,,100,DC Address,
1312 MASSACHUSETTS AVENUE NW,1312 MASSACHUSETTS AVENUE NW,397363.28,137420.3,38.90463567,-77.03039859,Ward 2,10100,20005,226543,,100,DC Address,
1929 11TH STREET NW,1929 11TH STREET NW,397680.99,138745.52,38.9165746,-77.02674021,Ward 1,4400,20001,239209,,100,DC Address,
1008 RHODE ISLAND AVENUE NW,1008 RHODE ISLAND AVENUE NW,397699.95,138066.82,38.91046069,-77.02651931,Ward 6,4901,20001,225319,,100,DC Address,
1515 11TH STREET NW,1515 11TH STREET NW,397676.45,138032.7,38.91015326,-77.02679015,Ward 6,4901,20001,276242,,100,DC Address,
1502 10TH STREET NW,1502 10TH STREET NW,397728.36,137999.61,38.90985531,-77.02619152,Ward 6,4901,20001,308538,,100,DC Address,
1503 11TH STREET NW,1503 11TH STREET NW,397680.01,138011.1,38.90995869,-77.02674903,Ward 6,4901,20001,307311,,100,DC Address,
1511 11TH STREET NW,1511 11TH STREET NW,397684.88,138023.25,38.91006816,-77.02669292,Ward 6,4901,20001,225622,,100,DC Address,
1408 10TH STREET NW,1408 10TH STREET NW,397721.11,137909.14,38.90904031,-77.02627481,Ward 2,4901,20001,225472,,100,DC Address,
1117 10TH STREET NW,1117 10TH STREET NW,397768.87,137436.24,38.90478039,-77.02572262,Ward 2,4902,20001,300317,,100,DC Address,
1624 U STREET NW,1624 U STREET NW,396713.47,138766.04,38.91675636,-77.03789665,Ward 2,4201,20009,226300,,100,DC Address,
1210 R STREET NW,1210 R STREET NW,397513.6,138286.57,38.91243977,-77.0286687,Ward 2,5001,20009,302636,,100,DC Address,
1641 13TH STREET NW,1641 13TH STREET NW,397453.34,138275.92,38.91234365,-77.02936347,Ward 2,5001,20009,240877,,100,DC Address,
1224 R STREET NW,1224 R STREET NW,397479.56,138284.98,38.91242534,-77.02906118,Ward 2,5001,20009,240879,,100,DC Address,
1500 VERMONT AVENUE NW,1500 VERMONT AVENUE NW,397453.33,138079.11,38.91057072,-77.02936285,Ward 2,5001,20005,226218,,100,DC Address,
1217 N STREET NW,1217 N STREET NW,397490.77,137733.24,38.90745511,-77.02892991,Ward 2,5002,20005,240909,,100,DC Address,
1316 12TH STREET NW,1316 12TH STREET NW,397541.57,137776.63,38.90784613,-77.02834437,Ward 2,5002,20005,240903,,100,DC Address,
1215 N STREET NW,1215 N STREET NW,397497.65,137727.89,38.90740694,-77.02885057,Ward 2,5002,20005,240907,,100,DC Address,
1311 13TH STREET NW,1311 13TH STREET NW,397472.8,137769.67,38.90778324,-77.02913723,Ward 2,5002,20005,243348,,100,DC Address,
437 NEW YORK AVENUE NW,437 NEW YORK AVENUE NW,398500.65,137457.33,38.90497192,-77.017286,Ward 6,4802,20001,279778,,100,DC Address,
1314 MASSACHUSETTS AVENUE NW,1314 MASSACHUSETTS AVENUE NW,397340.97,137436.9,38.90478514,-77.03065587,Ward 2,10100,20005,240634,,100,DC Address,
1514 12TH STREET NW,1514 12TH STREET NW,397543.3,138072.91,38.91051513,-77.02832549,Ward 2,5001,20005,226208,,100,DC Address,
1501 VERMONT AVENUE NW,1501 VERMONT AVENUE NW,397489.18,138043.5,38.91025004,-77.02894938,Ward 2,5001,20005,225567,,100,DC Address,
1201 Q STREET NW,1201 Q STREET NW,397545.18,138160.44,38.91130363,-77.02830412,Ward 2,5001,20009,226370,,100,DC Address,
2004 11TH STREET NW,2004 11TH STREET NW,397629.36,138865.69,38.91765699,-77.02733596,Ward 1,4400,20001,284158,,100,DC Address,
1913 12TH STREET NW,1913 12TH STREET NW,397584.86,138678.3,38.9159688,-77.02784843,Ward 1,4400,20009,278157,,100,DC Address,
1939 12TH STREET NW,1939 12TH STREET NW,397590.19,138750.62,38.9166203,-77.02778723,Ward 1,4400,20009,305807,,100,DC Address,
1937 12TH STREET NW,1937 12TH STREET NW,397590.7,138738.35,38.91650977,-77.02778131,Ward 1,4400,20009,305816,,100,DC Address,
1935 12TH STREET NW,1935 12TH STREET NW,397590.7,138733.17,38.9164631,-77.02778129,Ward 1,4400,20009,305801,,100,DC Address,
1923 12TH STREET NW,1923 12TH STREET NW,397582.14,138704.09,38.91620112,-77.02787989,Ward 1,4400,20009,239006,,100,DC Address,
1931 12TH STREET NW,1931 12TH STREET NW,397584.51,138725.01,38.91638958,-77.02785263,Ward 1,4400,20009,309140,,100,DC Address,
1918 11TH STREET NW,1918 11TH STREET NW,397632.18,138703.23,38.91619351,-77.02730288,Ward 1,4400,20001,239005,,100,DC Address,
1836 11TH STREET NW,1836 11TH STREET NW,397633.52,138610.85,38.91536132,-77.02728711,Ward 1,4400,20001,239009,,100,DC Address,
1830 11TH STREET NW,1830 11TH STREET NW,397633.5,138591.97,38.91519124,-77.02728728,Ward 1,4400,20001,239054,,100,DC Address,
1826 11TH STREET NW,1826 11TH STREET NW,397632.96,138584.8,38.91512665,-77.02729348,Ward 1,4400,20001,239012,,100,DC Address,
1330 MASSACHUSETTS AVENUE NW,1330 MASSACHUSETTS AVENUE NW,397304.53,137451.42,38.90491583,-77.03107604,Ward 2,10100,20005,240636,,100,DC Address,
2025 13TH STREET NW,2025 13TH STREET NW,397451.51,138873.25,38.9177246,-77.02938679,Ward 1,4400,20009,238142,,100,DC Address,
1229 12TH STREET NW,1229 12TH STREET NW,397589.21,137642.79,38.90664059,-77.02779464,Ward 2,5002,20005,226429,,100,DC Address,
1111 M STREET NW,1111 M STREET NW,397593.27,137551.01,38.90581381,-77.02774751,Ward 2,5002,20005,239090,,100,DC Address,
1221 12TH STREET NW,1221 12TH STREET NW,397585.18,137615.8,38.90639744,-77.02784101,Ward 2,5002,20005,239094,,100,DC Address,
1109 M STREET NW,1109 M STREET NW,397600.26,137551.59,38.90581905,-77.02766692,Ward 2,5002,20005,239089,,100,DC Address,
426 M STREET NW,426 M STREET NW,398496.05,137513.66,38.90547936,-77.01733916,Ward 6,4802,20001,300096,,100,DC Address,
420 M STREET NW,420 M STREET NW,398513.9,137511.65,38.90546128,-77.01713336,Ward 6,4802,20001,237560,,100,DC Address,
442 M STREET NW,442 M STREET NW,398435.4,137507.6,38.90542466,-77.01803838,Ward 6,4802,20001,237547,,100,DC Address,
2119 11TH STREET NW,2119 11TH STREET NW,397680.13,138992.46,38.91879911,-77.02675096,Ward 1,4400,20001,307197,,100,DC Address,
2117 11TH STREET NW,2117 11TH STREET NW,397680.82,138986.27,38.91874335,-77.02674298,Ward 1,4400,20001,239139,,100,DC Address,
2111 11TH STREET NW,2111 11TH STREET NW,397676.46,138967.33,38.91857272,-77.02679319,Ward 1,4400,20001,218624,,100,DC Address,
2121 11TH STREET NW,2121 11TH STREET NW,397681.12,138998.39,38.91885253,-77.02673956,Ward 1,4400,20001,239140,,100,DC Address,
2106 10TH STREET NW,2106 10TH STREET NW,397726.72,138961.61,38.91852133,-77.02621362,Ward 1,4400,20001,239144,,100,DC Address,
2108 10TH STREET NW,2108 10TH STREET NW,397724.03,138968.47,38.91858312,-77.02624466,Ward 1,4400,20001,239143,,100,DC Address,
1126 10TH STREET NW,1126 10TH STREET NW,397720.14,137470.18,38.905086,-77.02628454,Ward 2,4902,20001,297744,,100,DC Address,
2131 10TH STREET NW,2131 10TH STREET NW,397761.08,139017.24,38.91902255,-77.02581759,Ward 1,4400,20001,284239,,100,DC Address,
2109 10TH STREET NW,2109 10TH STREET NW,397778.09,138964.01,38.91854308,-77.02562127,Ward 1,4400,20001,239425,,100,DC Address,
813 T STREET NW,813 T STREET NW,397957.47,138652.1,38.91573373,-77.02355187,Ward 1,4400,20001,290194,,100,DC Address,
815 T STREET NW,815 T STREET NW,397948.31,138651.72,38.91573028,-77.0236575,Ward 1,4400,20001,290195,,100,DC Address,
1910 8TH STREET NW,1910 8TH STREET NW,397987.51,138681.22,38.91599612,-77.02320558,Ward 1,4400,20001,307532,,100,DC Address,
1912 8TH STREET NW,1912 8TH STREET NW,397988.64,138686.92,38.91604747,-77.02319256,Ward 1,4400,20001,310285,,100,DC Address,
806 RHODE ISLAND AVENUE NW,806 RHODE ISLAND AVENUE NW,397961.57,138182.13,38.91150009,-77.0235032,Ward 6,4901,20001,225975,,100,DC Address,
1600 8TH STREET NW,1600 8TH STREET NW,397987.22,138156.54,38.91126962,-77.02320738,Ward 6,4901,20001,225801,,100,DC Address,
901 M STREET NW,901 M STREET NW,397905.03,137552.3,38.90582623,-77.02415319,Ward 2,4902,20001,226092,,100,DC Address,
903 M STREET NW,903 M STREET NW,397896.58,137558.89,38.90588557,-77.02425063,Ward 2,4902,20001,226093,,100,DC Address,
933 M STREET NW,933 M STREET NW,397798.94,137552.67,38.9058293,-77.02537632,Ward 2,4902,20001,276018,,100,DC Address,
935 M STREET NW,935 M STREET NW,397791.57,137559.32,38.90588919,-77.02546131,Ward 2,4902,20001,276019,,100,DC Address,
1229 10TH STREET NW,1229 10TH STREET NW,397766.47,137651.18,38.90671663,-77.02575099,Ward 2,4902,20001,226436,,100,DC Address,
922 N STREET NW,922 N STREET NW,397843.65,137691.01,38.90707563,-77.02486128,Ward 2,4902,20001,239757,,100,DC Address,
936 N STREET NW,936 N STREET NW,397799.61,137682.35,38.90699751,-77.02536901,Ward 2,4902,20001,239784,,100,DC Address,
1215 10TH STREET NW,1215 10TH STREET NW,397770.46,137613.21,38.9063746,-77.02570486,Ward 2,4902,20001,239765,,100,DC Address,
1217 10TH STREET NW,1217 10TH STREET NW,397770.37,137621.64,38.90645054,-77.02570593,Ward 2,4902,20001,239756,,100,DC Address,
941 M STREET NW,941 M STREET NW,397770.9,137552.38,38.90582662,-77.02569959,Ward 2,4902,20001,310542,,100,DC Address,
